Date,PER
1983/Apr,3.50
1983/May,3.52
1983/Jun,3.51
1983/Jul,3.52
1983/Aug,3.54
1983/Sep,3.51
1983/Oct,3.50
1983/Nov,3.49
1983/Dec,3.48
1984/Jan,3.48
1984/Feb,3.49
1984/Mar,3.50
1984/Apr,3.49
1984/May,3.50
1984/Jun,3.51
1984/Jul,3.51
1984/Aug,3.52
1984/Sep,3.52
1984/Oct,3.52
1984/Nov,3.54
1984/Dec,3.54
1985/Jan,3.55
1985/Feb,3.54
1985/Mar,3.54
1985/Apr,3.56
1985/May,3.54
1985/Jun,3.53
1985/Jul,3.49
1985/Aug,3.51
1985/Sep,3.53
1985/Oct,3.54
1985/Nov,3.55
1985/Dec,3.59
1986/Jan,3.59
1986/Feb,3.59
1986/Mar,3.60
1986/Apr,3.63
1986/May,3.64
1986/Jun,3.67
1986/Jul,3.68
1986/Aug,3.69
1986/Sep,3.69
1986/Oct,3.73
1986/Nov,3.74
1986/Dec,3.77
1987/Jan,3.78
1987/Feb,3.83
1987/Mar,3.84
1987/Apr,3.85
1987/May,3.87
1987/Jun,3.87
1987/Jul,3.88
1987/Aug,3.89
1987/Sep,3.90
1987/Oct,3.92
1987/Nov,3.98
1987/Dec,3.99
1988/Jan,4.03
1988/Feb,4.09
1988/Mar,4.15
1988/Apr,4.23
1988/May,4.30
1988/Jun,4.38
1988/Jul,4.52
1988/Aug,4.63
1988/Sep,4.76
1988/Oct,4.80
1988/Nov,4.85
1988/Dec,4.88
1989/Jan,4.91
1989/Feb,4.93
1989/Mar,4.97
1989/Apr,4.96
1989/May,4.97
1989/Jun,4.92
1989/Jul,4.86
1989/Aug,4.81
1989/Sep,4.74
1989/Oct,4.68
1989/Nov,4.64
1989/Dec,4.59
1990/Jan,4.61
1990/Feb,4.57
1990/Mar,4.52
1990/Apr,4.50
1990/May,4.45
1990/Jun,4.42
1990/Jul,4.38
1990/Aug,4.34
1990/Sep,4.34
1990/Oct,4.30
1990/Nov,4.28
1990/Dec,4.27
1991/Jan,4.24
1991/Feb,4.20
1991/Mar,4.17
1991/Apr,4.13
1991/May,4.11
1991/Jun,4.08
1991/Jul,4.03
1991/Aug,4.00
1991/Sep,3.96
1991/Oct,3.94
1991/Nov,3.90
1991/Dec,3.85
1992/Jan,3.81
1992/Feb,3.76
1992/Mar,3.71
1992/Apr,3.65
1992/May,3.63
1992/Jun,3.62
1992/Jul,3.60
1992/Aug,3.58
1992/Sep,3.46
1992/Oct,3.43
1992/Nov,3.42
1992/Dec,3.40
1993/Jan,3.38
1993/Feb,3.35
1993/Mar,3.38
1993/Apr,3.44
1993/May,3.38
1993/Jun,3.33
1993/Jul,3.35
1993/Aug,3.37
1993/Sep,3.38
1993/Oct,3.38
1993/Nov,3.37
1993/Dec,3.35
1994/Jan,3.32
1994/Feb,3.37
1994/Mar,3.37
1994/Apr,3.35
1994/May,3.30
1994/Jun,3.30
1994/Jul,3.31
1994/Aug,3.27
1994/Sep,3.27
1994/Oct,3.26
1994/Nov,3.24
1994/Dec,3.24
1995/Jan,3.23
1995/Feb,3.21
1995/Mar,3.20
1995/Apr,3.17
1995/May,3.14
1995/Jun,3.13
1995/Jul,3.10
1995/Aug,3.09
1995/Sep,3.09
1995/Oct,3.08
1995/Nov,3.08
1995/Dec,3.07
1996/Jan,3.08
1996/Feb,3.09
1996/Mar,3.10
1996/Apr,3.11
1996/May,3.13
1996/Jun,3.11
1996/Jul,3.11
1996/Aug,3.11
1996/Sep,3.09
1996/Oct,3.13
1996/Nov,3.13
1996/Dec,3.16
1997/Jan,3.12
1997/Feb,3.12
1997/Mar,3.13
1997/Apr,3.12
1997/May,3.14
1997/Jun,3.14
1997/Jul,3.13
1997/Aug,3.13
1997/Sep,3.12
1997/Oct,3.11
1997/Nov,3.13
1997/Dec,3.12
1998/Jan,3.12
1998/Feb,3.11
1998/Mar,3.12
1998/Apr,3.13
1998/May,3.12
1998/Jun,3.14
1998/Jul,3.14
1998/Aug,3.12
1998/Sep,3.12
1998/Oct,3.14
1998/Nov,3.11
1998/Dec,3.10
1999/Jan,3.10
1999/Feb,3.08
1999/Mar,3.10
1999/Apr,3.09
1999/May,3.14
1999/Jun,3.17
1999/Jul,3.20
1999/Aug,3.22
1999/Sep,3.20
1999/Oct,3.29
1999/Nov,3.24
1999/Dec,3.31
2000/Jan,3.37
2000/Feb,3.32
2000/Mar,3.30
2000/Apr,3.30
2000/May,3.29
2000/Jun,3.25
2000/Jul,3.26
2000/Aug,3.26
2000/Sep,3.32
2000/Oct,3.26
2000/Nov,3.27
2000/Dec,3.24
2001/Jan,3.24
2001/Feb,3.27
2001/Mar,3.29
2001/Apr,3.33
2001/May,3.36
2001/Jun,3.40
2001/Jul,3.42
2001/Aug,3.47
2001/Sep,3.45
2001/Oct,3.42
2001/Nov,3.51
2001/Dec,3.59
2002/Jan,3.65
2002/Feb,3.68
2002/Mar,3.69
2002/Apr,3.71
2002/May,3.84
2002/Jun,3.92
2002/Jul,3.98
2002/Aug,3.95
2002/Sep,4.13
2002/Oct,4.29
2002/Nov,4.36
2002/Dec,4.25
2003/Jan,4.31
2003/Feb,4.38
2003/Mar,4.43
2003/Apr,4.44
2003/May,4.48
2003/Jun,4.50
2003/Jul,4.54
2003/Aug,4.60
2003/Sep,4.62
2003/Oct,4.69
2003/Nov,4.72
2003/Dec,4.78
2004/Jan,4.87
2004/Feb,4.96
2004/Mar,5.04
2004/Apr,5.12
2004/May,5.19
2004/Jun,5.23
2004/Jul,5.27
2004/Aug,5.22
2004/Sep,5.29
2004/Oct,5.24
2004/Nov,5.20
2004/Dec,5.24
2005/Jan,5.26
2005/Feb,5.20
2005/Mar,5.21
2005/Apr,5.18
2005/May,5.15
2005/Jun,5.15
2005/Jul,5.14
2005/Aug,5.20
2005/Sep,5.24
2005/Oct,5.23
2005/Nov,5.26
2005/Dec,5.31
2006/Jan,5.27
2006/Feb,5.32
2006/Mar,5.35
2006/Apr,5.44
2006/May,5.43
2006/Jun,5.38
2006/Jul,5.38
2006/Aug,5.43
2006/Sep,5.48
2006/Oct,5.56
2006/Nov,5.66
2006/Dec,5.54
2007/Jan,5.66
2007/Feb,5.73
2007/Mar,5.77
2007/Apr,5.82
2007/May,5.81
2007/Jun,5.81
2007/Jul,5.83
2007/Aug,5.82
2007/Sep,5.77
2007/Oct,5.72
2007/Nov,5.63
2007/Dec,5.66
2008/Jan,5.62
2008/Feb,5.56
2008/Mar,5.42
