BHCIncome,BHCAIncome,Individuals
0,0,0.360378
10,520,0.02452
20,1040,0.039104
30,1560,0.050964
40,2080,0.061447
50,2600,0.048957
60,3120,0.089287
70,3640,0.085337
80,4160,0.119157
90,4680,0.099424
100,5200,0.144754
110,5720,0.142813
120,6240,0.136721
130,6760,0.175189
140,7280,0.189045
150,7800,0.272185
160,8320,0.349904
170,8840,0.495677
180,9360,0.565412
190,9880,0.455554
200,10400,0.544273
210,10920,0.568053
220,11440,0.643447
230,11960,0.715425
240,12480,1.069935
250,13000,0.931515
260,13520,1.006107
270,14040,1.060482
280,14560,1.21439
290,15080,1.074727
300,15600,1.391847
310,16120,1.46447
320,16640,1.526836
330,17160,1.393322
340,17680,1.42751
350,18200,1.245144
360,18720,1.182038
370,19240,1.107841
380,19760,1.134082
390,20280,1.140441
400,20800,1.172731
410,21320,1.038517
420,21840,1.198316
430,22360,0.90615
440,22880,1.08742
450,23400,1.008237
460,23920,1.001697
470,24440,1.061595
480,24960,0.961196
490,25480,0.857763
500,26000,0.953607
510,26520,0.753164
520,27040,0.748438
530,27560,0.684676
540,28080,0.789905
550,28600,0.909458
560,29120,0.839949
570,29640,0.779309
580,30160,0.704792
590,30680,0.649712
600,31200,0.589338
610,31720,0.596904
620,32240,0.690517
630,32760,0.531486
640,33280,0.567959
650,33800,0.68598
660,34320,0.56461
670,34840,0.670507
680,35360,0.436732
690,35880,0.618818
700,36400,0.497315
710,36920,0.471563
720,37440,0.426592
730,37960,0.386329
740,38480,0.40068
750,39000,0.37541
760,39520,0.39191
770,40040,0.341874
780,40560,0.374496
790,41080,0.313639
800,41600,0.245053
810,42120,0.351542
820,42640,0.313893
830,43160,0.238819
840,43680,0.258795
850,44200,0.254356
860,44720,0.254996
870,45240,0.244209
880,45760,0.248016
890,46280,0.272274
900,46800,0.191026
910,47320,0.201729
920,47840,0.15425
930,48360,0.184335
940,48880,0.185607
950,49400,0.201346
960,49920,0.220928
970,50440,0.131583
980,50960,0.166179
990,51480,0.171408
1000,52000,4.7
